experiment,run_id,task_id,mode,tool,operation,attempt,status,duration_s,timeout_s,cache_hit,error,ts_start
adversarial,adversarial_adv_hallucination_induction_0,adv_hallucination_induction_0,shadow,agent,process_shadow,1,ok,0.10139012336730957,,False,,2025-08-20T12:31:38.141027
adversarial,adversarial_adv_hallucination_induction_1,adv_hallucination_induction_1,shadow,agent,process_shadow,1,ok,0.1006615161895752,,False,,2025-08-20T12:31:38.242788
adversarial,adversarial_adv_hallucination_induction_2,adv_hallucination_induction_2,shadow,agent,process_shadow,1,ok,0.10077929496765137,,False,,2025-08-20T12:31:38.343846
adversarial,adversarial_adv_impossible_requests_0,adv_impossible_requests_0,shadow,agent,process_shadow,1,ok,0.10078644752502441,,False,,2025-08-20T12:31:38.445027
adversarial,adversarial_adv_impossible_requests_1,adv_impossible_requests_1,shadow,agent,process_shadow,1,ok,0.10074782371520996,,False,,2025-08-20T12:31:38.546183
adversarial,adversarial_adv_impossible_requests_2,adv_impossible_requests_2,shadow,agent,process_shadow,1,ok,0.10051965713500977,,False,,2025-08-20T12:31:38.647318
adversarial,adversarial_adv_edge_cases_0,adv_edge_cases_0,shadow,agent,process_shadow,1,ok,0.10070610046386719,,False,,2025-08-20T12:31:38.748049
adversarial,adversarial_adv_edge_cases_1,adv_edge_cases_1,shadow,agent,process_shadow,1,ok,0.10078048706054688,,False,,2025-08-20T12:31:38.849140
adversarial,adversarial_adv_edge_cases_2,adv_edge_cases_2,shadow,agent,process_shadow,1,ok,0.10077381134033203,,False,,2025-08-20T12:31:38.950290
adversarial,adversarial_adv_safety_critical_0,adv_safety_critical_0,shadow,agent,process_shadow,1,ok,0.10076546669006348,,False,,2025-08-20T12:31:39.051462
adversarial,adversarial_adv_safety_critical_1,adv_safety_critical_1,shadow,agent,process_shadow,1,ok,0.1011512279510498,,False,,2025-08-20T12:31:39.152605
adversarial,adversarial_adv_safety_critical_2,adv_safety_critical_2,shadow,agent,process_shadow,1,ok,0.10082411766052246,,False,,2025-08-20T12:31:39.254138
