experiment,run_id,task_id,mode,tool,operation,attempt,status,duration_s,timeout_s,cache_hit,error,ts_start
adversarial,adversarial_adv_hallucination_induction_0,adv_hallucination_induction_0,shadow,agent,process_shadow,1,ok,0.10150933265686035,,False,,2025-08-20T14:56:36.332411
adversarial,adversarial_adv_hallucination_induction_1,adv_hallucination_induction_1,shadow,agent,process_shadow,1,ok,0.10066533088684082,,False,,2025-08-20T14:56:36.434250
adversarial,adversarial_adv_hallucination_induction_2,adv_hallucination_induction_2,shadow,agent,process_shadow,1,ok,0.10044240951538086,,False,,2025-08-20T14:56:36.535484
adversarial,adversarial_adv_impossible_requests_0,adv_impossible_requests_0,shadow,agent,process_shadow,1,ok,0.10034990310668945,,False,,2025-08-20T14:56:36.636174
adversarial,adversarial_adv_impossible_requests_1,adv_impossible_requests_1,shadow,agent,process_shadow,1,ok,0.10061287879943848,,False,,2025-08-20T14:56:36.736730
adversarial,adversarial_adv_impossible_requests_2,adv_impossible_requests_2,shadow,agent,process_shadow,1,ok,0.10067939758300781,,False,,2025-08-20T14:56:36.837838
adversarial,adversarial_adv_edge_cases_0,adv_edge_cases_0,shadow,agent,process_shadow,1,ok,0.10066413879394531,,False,,2025-08-20T14:56:36.939064
adversarial,adversarial_adv_edge_cases_1,adv_edge_cases_1,shadow,agent,process_shadow,1,ok,0.10070419311523438,,False,,2025-08-20T14:56:37.040180
adversarial,adversarial_adv_edge_cases_2,adv_edge_cases_2,shadow,agent,process_shadow,1,ok,0.10092592239379883,,False,,2025-08-20T14:56:37.141328
adversarial,adversarial_adv_safety_critical_0,adv_safety_critical_0,shadow,agent,process_shadow,1,ok,0.10062789916992188,,False,,2025-08-20T14:56:37.242774
adversarial,adversarial_adv_safety_critical_1,adv_safety_critical_1,shadow,agent,process_shadow,1,ok,0.10064196586608887,,False,,2025-08-20T14:56:37.343858
adversarial,adversarial_adv_safety_critical_2,adv_safety_critical_2,shadow,agent,process_shadow,1,ok,0.10063004493713379,,False,,2025-08-20T14:56:37.444946
